trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20180907,90.4699,91.4178,87.9422,89.1007,195929.14,2696.68,2728.55,2702.3,2683.72,1075232.88,8344.57,8462.39,8322.36,8270.4,160347056
20180910,89.6273,90.3646,86.573,87.4156,175240.49,2698.01,2703.43,2669.48,2667.32,1035591.69,8310.46,8311.91,8158.49,8155.35,155414176
20180911,87.8369,89.206,87.205,88.1528,149474.54,2668.49,2680.57,2664.8,2652.7,998659.44,8155.95,8216.62,8168.1,8112,135954592
20180912,88.1528,91.839,87.8369,89.7326,230409.23,2659.74,2672.07,2656.11,2647.17,900267.56,8162.17,8196.86,8111.16,8095.01,128076096
20180913,90.5752,94.1561,89.6273,94.0508,266379.45,2679.21,2689.06,2686.58,2653.19,1073350.12,8196.21,8227.2,8163.76,8038.12,156021952
20180914,93.9454,93.9454,88.4688,89.522,237357.84,2688.78,2694.92,2681.64,2675.29,1000050.06,8173.56,8180.7,8113.88,8090.4,160010224
20180917,88.1528,90.1539,86.7837,88.6794,111692.8,2671.29,2671.29,2651.79,2647.92,882388.88,8068.06,8074.79,7999.35,7977.44,141937344
20180918,89.3114,89.4167,86.573,88.5741,132256.19,2644.3,2700.19,2699.95,2644.3,1157679.88,7970.45,8133.9,8133.22,7958.52,160542160
20180919,88.5741,90.2592,87.3103,89.4167,153163.34,2694.8,2746.08,2730.85,2690.99,1415503.12,8111.24,8313.62,8248.12,8097.23,200529776
20180920,88.9954,89.7326,87.4156,87.5209,110653.39,2732.17,2743.96,2729.24,2724.08,1113874.62,8241.7,8295.13,8233.89,8218.38,177806992
20180921,87.4156,90.8912,87.3103,89.7326,153902.12,2733.87,2797.49,2797.48,2722.03,1580166.38,8258.02,8419.47,8409.18,8216.68,197594128
20180925,89.9433,93.8401,89.522,92.5763,198736,2775.07,2790.03,2781.14,2771.16,1119831.75,8336.75,8390.65,8353.38,8311.93,149970128
